,name,artist,album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,Keep The Family Close,Drake,Views,0.378,0.566,9,-7.685,0,0.0482,0.149,0.0,0.382,0.196,87.691
1,9,Drake,Views,0.68,0.712,10,-7.184,1,0.0453,0.000803,0.000612,0.237,0.0379,100.009
2,U With Me?,Drake,Views,0.429,0.43,2,-11.373,1,0.165,0.338,1.18e-05,0.138,0.125,174.983
3,Feel No Ways,Drake,Views,0.582,0.677,7,-7.081,1,0.172,0.0312,6.6e-06,0.122,0.205,193.818
4,Hype,Drake,Views,0.787,0.635,4,-8.271,0,0.155,0.0253,0.0,0.357,0.237,130.018
5,Weston Road Flows,Drake,Views,0.623,0.74,1,-6.942,1,0.307,0.0635,0.0,0.366,0.35,82.877
6,Redemption,Drake,Views,0.694,0.314,0,-7.82,1,0.116,0.611,2.07e-06,0.117,0.341,119.905
7,With You,Drake,Views,0.878,0.406,1,-9.961,1,0.248,0.134,0.000234,0.112,0.784,128.014
8,Faithful,Drake,Views,0.536,0.449,1,-10.499,1,0.103,0.11,1.49e-05,0.284,0.171,99.889
9,Still Here,Drake,Views,0.834,0.433,0,-9.607,1,0.174,0.0258,0.0,0.633,0.229,133.938
10,Controlla,Drake,Views,0.59,0.468,10,-11.083,0,0.185,0.0789,0.0,0.101,0.349,92.287
11,One Dance,Drake,Views,0.792,0.625,1,-5.609,1,0.0536,0.00776,0.0018,0.329,0.37,103.967
12,Grammys,Drake,Views,0.676,0.432,1,-9.51,1,0.502,0.00163,3.84e-06,0.0799,0.12,145.869
13,Childs Play,Drake,Views,0.746,0.475,10,-11.243,0,0.113,0.0175,1.1e-05,0.197,0.292,80.006
14,Pop Style,Drake,Views,0.713,0.462,7,-10.027,1,0.123,0.192,2.16e-06,0.105,0.0594,133.053
15,Too Good,Drake,Views,0.794,0.653,7,-7.839,1,0.104,0.0489,4.88e-05,0.1,0.397,117.996
16,Summers Over Interlude,Drake,Views,0.699,0.255,4,-8.647,0,0.0303,0.405,0.00242,0.0985,0.242,132.031
17,Fire & Desire,Drake,Views,0.722,0.252,1,-14.411,0,0.0761,0.0671,0.0,0.0852,0.275,79.923
18,Views,Drake,Views,0.395,0.852,5,-5.896,1,0.37,0.0657,0.0,0.262,0.112,76.428
19,Hotline Bling,Drake,Views,0.891,0.628,2,-7.863,1,0.0551,0.00258,0.00019,0.0504,0.552,134.966
20,Digital Dash,Drake,What A Time To Be Alive,0.881,0.546,2,-7.566,1,0.12,0.00296,4.72e-06,0.226,0.276,140.032
21,Big Rings,Drake,What A Time To Be Alive,0.776,0.675,8,-6.224,0,0.266,0.00196,0.0,0.227,0.27,131.984
22,Live From The Gutter,Drake,What A Time To Be Alive,0.824,0.49,7,-8.391,1,0.429,0.0369,1.24e-06,0.0807,0.307,165.948
23,Diamonds Dancing,Drake,What A Time To Be Alive,0.51,0.358,1,-10.847,1,0.0467,0.125,3.74e-05,0.111,0.171,136.036
24,Scholarships,Drake,What A Time To Be Alive,0.739,0.416,0,-9.319,0,0.285,0.0966,1.27e-05,0.1,0.259,109.168
